34 2
33 0.62884843 -1.3406595
32 0.5226495 -1.5221722
0 1.3582686 -0.18647783
2 0.96873575 -0.6165221
1 1.1551021 -0.43096232
31 0.71373343 -1.0943632
8 0.71258366 -1.0131978
3 1.0980084 -0.47038382
30 0.7366123 -0.9166423
13 0.88582706 -0.7024206
29 0.5116515 -1.458814
23 0.5069286 -1.3576689
7 1.1409017 -0.38951412
5 2.1400812 0.55509806
6 2.4109354 0.69438505
27 0.64194757 -1.2180145
10 2.0174642 0.41589558
28 0.6566994 -1.1531487
19 0.78468764 -0.77671283
16 2.2349515 0.56242615
4 1.9361687 0.36467874
18 0.5064633 -1.3609033
25 0.6370835 -1.3234009
24 0.74369997 -1.1393465
15 0.41423807 -1.6668936
14 0.44838068 -1.392686
9 0.6375383 -1.1134933
26 0.46220335 -1.5269367
20 0.5147973 -1.2977529
22 0.50773686 -1.4373672
17 1.1422861 -0.37565085
21 1.1744188 -0.2712765
12 1.1742841 -0.2865022
11 1.2229445 -0.26477802
