6301 2
6139 -2.1210716 2.539769
424 -1.3971127 1.4115565
123 -1.8054358 1.9495392
1317 -1.3751272 1.3328432
251 -1.6369847 1.6960214
127 -1.7103763 1.8009126
266 -1.6329257 1.7119193
145 -1.7676644 1.9115547
249 -1.8570544 1.9978912
264 -1.5751051 1.626925
367 -1.8077035 1.9343623
3 -1.5528169 1.5754411
1890 -1.3310599 1.3494232
427 -1.7411008 1.8276596
149 -1.7687773 1.9062063
5 -1.9800043 2.2230434
8 -1.5286183 1.6170218
122 -1.593577 1.6889817
125 -1.5041187 1.5660403
143 -1.7836206 1.9492568
177 -1.8225257 1.9739273
179 -1.7530924 1.9053415
126 -1.7512497 1.8700894
422 -1.6246727 1.7020288
124 -1.7374535 1.8536507
1245 -1.76288 1.8656684
390 -1.6275544 1.7072892
144 -1.8449914 1.9863689
559 -1.5552506 1.5890616
352 -1.6493474 1.7330648
129 -1.4616995 1.4747707
353 -1.7794144 1.927404
147 -1.9240086 2.1084614
176 -1.7748893 1.8898664
174 -1.7069166 1.8674446
148 -1.776936 1.9496745
247 -1.6602811 1.7818613
856 -1.8553404 2.0371194
4 -1.6556876 1.7558053
667 -1.4972638 1.4952552
1675 -1.0155916 0.26854977
175 -1.6358055 1.6931394
369 -1.8543229 2.0308628
146 -1.6350799 1.7252227
248 -1.628048 1.722834
368 -1.7161956 1.8392562
423 -1.7559913 1.9457793
252 -1.4741392 1.4612714
9 -1.8900942 2.0805573
5831 -0.95266634 0.0357189
7 -1.8799428 2.053402
5202 -0.94554466 -0.5155402
717 -1.6454036 1.7222408
121 -1.8095554 1.9917454
754 -1.798687 1.9442843
238 -1.677083 1.8092037
250 -1.5758948 1.6132629
128 -1.8136247 1.9724666
2001 -1.3793299 1.3000435
6039 -1.0703502 -1.1945286
558 -1.5535675 1.6711698
180 -1.4288356 1.3933669
718 -1.6665878 1.785924
17 -1.1414723 0.91394895
2018 -1.5179987 1.5374396
697 -1.2627145 1.0745744
1382 -0.99107146 0.20300585
554 -0.9874141 0.053636868
588 -4.582867 -6.765331
31 -1.1677759 0.95683736
38 -0.9508867 -0.47387698
2852 -0.9181956 -0.081359826
989 -0.999632 0.2102286
3095 -1.3737748 1.3138762
2614 -0.9601318 -0.01399567
1787 -0.9561381 -0.5136762
955 -0.9639572 -0.53435796
1994 -0.9578078 -0.29398075
762 -1.3267186 1.1652087
351 -1.138554 0.93531096
2338 -1.2108129 1.0554734
1947 -0.9261956 -0.31237313
158 -0.96656877 -0.6589034
2337 -0.96078044 -0.42494076
666 -1.7657138 1.9010935
133 -0.9427023 -0.12721394
892 -0.9669134 -0.5569367
1022 -0.98414063 0.048862226
3981 -0.9614123 -0.48444954
2612 -0.93425757 -0.3411121
804 -0.95781326 -0.5327103
325 -0.98656374 -0.41249686
1541 -0.94335365 0.038380608
1749 -0.92461675 -0.40092683
2377 -0.99232066 -0.3923688
527 -0.9557797 -0.56522965
2646 -0.9749141 -0.3705644
1137 -0.9536548 -0.022995925
1862 -0.98652345 -0.7195236
629 -1.0748403 0.6214622
693 -1.0640011 0.53032076
1424 -0.9831492 -0.4702581
1867 -1.0267811 0.35194668
852 -0.91826046 0.15352155
1534 -1.00048 0.10725057
